volunteer_id,year,college_code,college_name,major_name,candidate_count,candidate_majors,curated_chosen_major,curated_resolution_status
2111-005,2023,2111,大连理工大学(“双一流”建设高校),工程力学(中外合作办学),2,"工程力学; 工程力学(钱令希力学创新班,拔尖计划班)",,
2124-017,2023,2124,东北大学(“双一流”建设高校),计算机类,2,"计算机类(含计算机科学与技术,物联网工程专业); 计算机类(含软件工程,信息安全,数字媒体技术专业)",,
2145-005,2025,2145,沈阳工业大学,自动化,3,机械设计制造及其自动化; 次自动化; 电气工程及其自动化,,
2158-025,2024,2158,沈阳药科大学,临床药学,3,药学; 药学(理科基地班); 药学(英语强化班),,
2158-025,2025,2158,沈阳药科大学,临床药学,2,药学; 药学(理科基地班),,
2228-014,2023,2228,吉林建筑科技学院,自动化,2,机械设计制造及其自动化; 电气工程及其自动化,,
2301-002,2023,2301,大庆师范学院,化学(卓师班)(师范),3,化学(师范); 化学工程与工艺; 应用化学,,
2301-002,2024,2301,大庆师范学院,化学(卓师班)(师范),3,化学(师范); 化学工程与工艺; 应用化学,,
2301-002,2025,2301,大庆师范学院,化学(卓师班)(师范),3,化学(师范); 化学工程与工艺; 应用化学,,
2301-009,2023,2301,大庆师范学院,化学工程与工艺(中外合作办学),2,化学(师范); 化学工程与工艺,,
2301-009,2024,2301,大庆师范学院,化学工程与工艺(中外合作办学),2,化学(师范); 化学工程与工艺,,
2301-009,2025,2301,大庆师范学院,化学工程与工艺(中外合作办学),2,化学(师范); 化学工程与工艺,,
2303-020,2025,2303,东北林业大学(“双一流”建设高校),生物科学(未来尖班),2,生物科学(拔尖人才成栋班); 生物科学类,,
2308-012,2024,2308,哈尔滨工程大学(“双一流”建设高校),核工程与核技术(兴海领军班),2,核工程与核技术; 核工程与核技术(未来领军),,
2308-012,2025,2308,哈尔滨工程大学(“双一流”建设高校),核工程与核技术(兴海领军班),2,核工程与核技术; 核工程与核技术(兴海领军),,
2308-018,2023,2308,哈尔滨工程大学(“双一流”建设高校),自动化(钱学森班),3,机械设计制造及其自动化(中外合作办学); 自动化(中外合作办学); 自动化类,,
2308-018,2024,2308,哈尔滨工程大学(“双一流”建设高校),自动化(钱学森班),3,机械设计制造及其自动化(中外合作办学); 自动化(中外合作办学); 自动化类,,
2314-005,2023,2314,哈尔滨商业大学,工商管理,2,工商管理类(会计学院); 工商管理类(商务学院),,
2323-017,2025,2323,黑龙江大学,自动化,2,次自动化; 电气工程及其自动化,,
2323-030,2025,2323,黑龙江大学,化学工程与工艺(中澳学分互认联合培养项目),2,化学; 化学工程与工艺,,
