volunteer_id,year,college_code,college_name,major_name,history_college_name,history_major_name,history_lowest_score,history_lowest_rank,history_source_page,match_level
3238-007,2025,3238,南京财经大学,商务英语,南京财经大学,英语,615,36249.0,139,contains_unique
3246-005,2024,3246,南京航空航天大学(“双一流”建设高校),能源与动力工程(拔尖创新班),南京航空航天大学,能源与动力工程,655,10154.0,138,base
3246-005,2025,3246,南京航空航天大学(“双一流”建设高校),能源与动力工程(拔尖创新班),南京航空航天大学,能源与动力工程,651,10610.0,141,base
3246-019,2023,3246,南京航空航天大学(“双一流”建设高校),信息与计算科学(信息与计算科学+人工智能双学士学位培养项目),南京航空航天大学,信息与计算科学,658,8669.0,135,base
3246-019,2024,3246,南京航空航天大学(“双一流”建设高校),信息与计算科学(信息与计算科学+人工智能双学士学位培养项目),南京航空航天大学,信息与计算科学,658,8975.0,139,base
3246-031,2024,3246,南京航空航天大学(“双一流”建设高校),工业工程(中外合作办学),南京航空航天大学,工业工程,652,11751.0,139,base
3246-033,2023,3246,南京航空航天大学(“双一流”建设高校),应用物理学(应用物理学+电子信息科学与技术双学士学位培养项目),南京航空航天大学,应用物理学,653,11166.0,135,base
3246-033,2024,3246,南京航空航天大学(“双一流”建设高校),应用物理学(应用物理学+电子信息科学与技术双学士学位培养项目),南京航空航天大学,应用物理学,652,11545.0,139,base
3246-033,2025,3246,南京航空航天大学(“双一流”建设高校),应用物理学(应用物理学+电子信息科学与技术双学士学位培养项目),南京航空航天大学,应用物理学(应用物理学+电子信息科学与技术双学士学位),652,10142.0,141,base
3258-017,2025,3258,南京审计大学金审学院,养老服务管理(中外合作办学),南京审计大学金审学院( 独立学院),养老服务管理,559,101172.0,145,base
3259-008,2023,3259,南京师范大学(“双一流”建设高校),应用心理学(师范),南京师范大学,应用心理学,659,8300.0,138,base
3259-008,2024,3259,南京师范大学(“双一流”建设高校),应用心理学(师范),南京师范大学,"应用心理学(创新实验班,含师范)",657,9484.0,142,base
3263-028,2023,3263,南京特殊教育师范学院,数据科学与大数据技术(中外合作办学),南京特殊教育师范学院,数据科学与大数据技术,544,112730.0,139,base
3263-028,2024,3263,南京特殊教育师范学院,数据科学与大数据技术(中外合作办学),南京特殊教育师范学院,数据科学与大数据技术,529,135058.0,143,base
3263-028,2025,3263,南京特殊教育师范学院,数据科学与大数据技术(中外合作办学),南京特殊教育师范学院,数据科学与大数据技术,530,136303.0,146,base
3263-029,2023,3263,南京特殊教育师范学院,听力与言语康复学(中外合作办学),南京特殊教育师范学院,听力与言语康复学,540,117679.0,139,base
3263-029,2024,3263,南京特殊教育师范学院,听力与言语康复学(中外合作办学),南京特殊教育师范学院,听力与言语康复学,520,146587.0,143,base
